Авиакомпания,Аэропорт вылета,Аэропорт прилета,День недели,Месяц,Время вылета,Время прилета,Продолжительность полета,Задержка прилета
Airline_C,ORD,LAX,Суббота,Июль,22,1,2.1747812848749337,57.30820365972231
Airline_A,ORD,LAX,Воскресенье,Август,23,0,2.874743649656566,-77.69247393611764
Airline_C,DEN,JFK,Воскресенье,Ноябрь,8,10,1.7374314414271221,110.38894539413722
Airline_C,DFW,JFK,Понедельник,Июнь,2,7,5.252837400690289,53.225493430221604
Airline_A,LAX,JFK,Среда,Май,18,19,1.0672846129215146,-187.760352679961
Airline_A,DFW,JFK,Вторник,Ноябрь,19,20,4.267997266884378,-113.35841760198309
Airline_C,DFW,DEN,Четверг,Сентябрь,4,6,2.9122082367815256,-1.4458786641118468
Airline_B,ORD,JFK,Пятница,Март,9,14,4.633178674895772,-130.91279174556865
Airline_C,DFW,DEN,Суббота,Декабрь,16,20,4.721054660897872,201.49379458240657
Airline_C,JFK,DEN,Пятница,Октябрь,14,19,3.257152351109096,46.10507428000105
Airline_C,ORD,JFK,Среда,Апрель,22,1,3.71938815557482,28.658159394317025
Airline_C,JFK,ORD,Суббота,Сентябрь,7,8,4.028121506277924,-61.21573685588979
Airline_A,LAX,DFW,Четверг,Июнь,14,17,2.375321345773014,-52.14167040557391
Airline_C,ORD,LAX,Понедельник,Август,20,0,4.626753348542331,-197.1481958282036
Airline_B,LAX,DEN,Пятница,Июль,13,16,3.1460965655413204,-178.04446793494955
Airline_A,ORD,DFW,Среда,Ноябрь,19,0,2.823003574446935,175.50278412112053
Airline_B,DEN,ORD,Четверг,Февраль,6,9,4.2350312988119185,175.96442733572243
Airline_B,DFW,LAX,Воскресенье,Март,20,0,5.6522811128184465,-165.03965371702938
Airline_B,DEN,LAX,Воскресенье,Январь,22,2,5.40519714257533,124.89403086925685
Airline_B,LAX,DEN,Четверг,Сентябрь,11,15,4.5960435954776475,23.266844267882046
Airline_A,DFW,JFK,Четверг,Июль,16,21,2.107450552628908,74.66750295740364
Airline_A,ORD,ORD,Четверг,Январь,16,20,4.016912799921608,-131.8670079120227
Airline_B,DFW,DEN,Суббота,Март,9,10,4.909564427380301,-142.56847079239145
Airline_B,JFK,ORD,Четверг,Апрель,18,22,3.269630008767183,124.19190997313099
Airline_A,DFW,JFK,Пятница,Апрель,13,16,5.819677002780459,-222.80310572270437
Airline_A,JFK,JFK,Среда,Май,10,13,3.9993503004722,-62.962003775580584
Airline_A,DFW,DEN,Суббота,Март,1,4,3.2114312579989113,-47.23432726796794
Airline_C,JFK,JFK,Четверг,Март,17,22,4.265170741183356,-104.76035903413123
Airline_C,LAX,DFW,Вторник,Январь,6,9,3.6628597876346656,12.590511039743017
Airline_C,DEN,LAX,Вторник,Июль,11,16,5.965448634600621,-76.53816158775132
Airline_B,ORD,DEN,Среда,Ноябрь,1,6,3.915814348190744,18.87606690563705
Airline_C,DFW,ORD,Воскресенье,Октябрь,19,23,5.502875520065585,15.368751190066858
Airline_B,DEN,DFW,Понедельник,Январь,17,18,3.795110282526725,202.79011507746625
Airline_B,ORD,DEN,Понедельник,Февраль,5,9,5.135745853099901,-148.3715354216764
Airline_C,ORD,JFK,Воскресенье,Апрель,23,3,3.9774381842040123,-69.79762012063651
Airline_B,JFK,JFK,Суббота,Апрель,9,14,3.9643532340359866,4.293354567209867
Airline_C,LAX,JFK,Суббота,Май,19,0,2.163728957879171,-6.36055359758333
Airline_C,LAX,JFK,Суббота,Ноябрь,14,17,5.2994231248031065,-109.57982260036049
Airline_A,DEN,ORD,Понедельник,Февраль,4,7,5.100154997506767,70.54697652614958
Airline_C,LAX,DFW,Вторник,Апрель,19,23,5.27171759889818,9.251887577381261
Airline_A,DFW,LAX,Понедельник,Январь,2,4,1.8159557894152067,-94.53071026468558
Airline_C,LAX,ORD,Пятница,Февраль,4,6,3.3783156071652596,22.325631853671524
Airline_C,DEN,ORD,Четверг,Январь,7,10,5.088396967146759,166.81188339153232
Airline_A,LAX,LAX,Суббота,Октябрь,7,9,1.3422255247789046,39.62256652888524
Airline_A,DFW,LAX,Вторник,Октябрь,7,10,2.98138333424128,-11.068586290358029
Airline_C,JFK,JFK,Среда,Апрель,11,16,5.629683595259203,141.65892079871847
Airline_B,DEN,ORD,Среда,Апрель,23,3,5.4161609464061575,-101.74949889290421
Airline_A,JFK,DEN,Четверг,Июль,22,23,1.1665385134972701,228.357528199063
Airline_B,JFK,LAX,Вторник,Октябрь,7,11,3.9861767972836946,110.6771621255081
Airline_B,JFK,LAX,Понедельник,Ноябрь,10,13,2.820849009263129,-91.8494475646085
Airline_B,ORD,DFW,Понедельник,Ноябрь,13,16,5.281477302450919,-82.55769865485902
Airline_A,ORD,DEN,Пятница,Сентябрь,7,11,3.0700686957211896,-36.31677552279527
Airline_B,JFK,DEN,Пятница,Сентябрь,23,2,2.056625557377558,-163.56542830078504
Airline_A,DEN,LAX,Понедельник,Май,9,11,4.120378149505534,-6.148180377176001
Airline_B,DFW,JFK,Среда,Октябрь,6,8,4.580768583614422,-67.29585456640054
Airline_C,DFW,DFW,Суббота,Январь,16,19,2.9287634212054923,25.120563544427625
Airline_C,LAX,DEN,Среда,Январь,3,6,1.4967434280059844,-128.35036599366347
Airline_A,DEN,LAX,Пятница,Июнь,12,14,2.842945482456197,65.77265359980039
Airline_C,ORD,DEN,Четверг,Февраль,3,6,2.4458866198598077,61.763132178182936
Airline_C,JFK,DFW,Понедельник,Август,4,7,1.7085835457678251,-101.49216936270639
Airline_B,LAX,DFW,Пятница,Сентябрь,21,1,1.7318727372865008,3.6183706847225636
Airline_A,DFW,ORD,Пятница,Апрель,3,4,3.1739637059033385,19.60476254376138
Airline_B,ORD,LAX,Суббота,Май,17,19,3.3612160589758115,137.5764516519979
Airline_B,ORD,DFW,Понедельник,Ноябрь,5,9,1.637302156538024,-142.2370268853597
Airline_B,JFK,ORD,Суббота,Август,23,0,4.070696608184366,50.08178157523661
Airline_B,DFW,ORD,Понедельник,Март,23,2,4.361540187762957,-97.8080148502554
Airline_B,DEN,DEN,Суббота,Май,22,1,2.5347994662811923,37.244908540596796
Airline_B,ORD,DEN,Среда,Март,21,1,5.996224493044639,9.033451029705283
Airline_B,JFK,ORD,Четверг,Декабрь,1,4,2.4745335626224407,-51.48566775233704
Airline_A,DEN,DEN,Четверг,Октябрь,22,3,2.816056757114324,-43.92743319748199
Airline_C,DFW,DFW,Понедельник,Март,10,14,5.432067285066617,77.73237786498412
Airline_B,ORD,JFK,Вторник,Март,13,14,1.796390722619709,141.63473590561546
Airline_B,DEN,DFW,Воскресенье,Декабрь,4,8,4.595414801620109,51.21939921016782
Airline_B,DEN,ORD,Пятница,Июль,5,7,2.8865954415023984,-38.17026538477725
Airline_B,DEN,ORD,Пятница,Июль,9,13,5.41094255235011,-49.04185852732493
Airline_B,ORD,DFW,Понедельник,Июль,7,10,3.604304419821479,7.595206512896986
Airline_B,ORD,DEN,Суббота,Октябрь,13,16,2.6300186806188273,31.94363167119871
Airline_C,LAX,DEN,Вторник,Август,23,4,4.417382941800473,-202.51172860213055
Airline_C,DFW,ORD,Среда,Май,2,7,1.1443120436874814,57.357771926305745
Airline_B,JFK,LAX,Суббота,Май,11,16,2.0935594069123358,-68.28263941863472
Airline_C,DEN,DEN,Суббота,Апрель,15,16,2.016671550599633,-135.45198989284359
Airline_A,LAX,DFW,Понедельник,Июль,22,3,5.873534264245214,-188.52842775139032
Airline_B,JFK,DEN,Понедельник,Октябрь,16,17,3.2364749122386947,5.653935222167146
Airline_A,LAX,DFW,Пятница,Апрель,0,5,3.211506749281768,-113.89158056129783
Airline_A,ORD,ORD,Понедельник,Февраль,22,23,1.7360354004260654,-272.6609787440695
Airline_B,DEN,DEN,Понедельник,Апрель,9,13,4.320016113087392,-44.357375817279404
Airline_C,JFK,DFW,Понедельник,Август,22,2,1.5060446924118365,-31.453162149044804
Airline_A,JFK,ORD,Пятница,Сентябрь,9,12,2.162511065297456,-35.222540898141816
Airline_B,JFK,LAX,Среда,Март,20,21,2.959745721461969,-36.54432295512858
Airline_A,JFK,DFW,Среда,Июль,23,1,3.8515814000172375,159.8231843961983
Airline_A,JFK,LAX,Воскресенье,Декабрь,1,4,4.863789622965003,32.70733365779823
Airline_A,LAX,LAX,Воскресенье,Сентябрь,8,12,5.4067737485720055,-81.34370283774531
Airline_A,DEN,JFK,Понедельник,Ноябрь,21,22,4.762361213707173,14.14860236250462
Airline_C,ORD,DEN,Воскресенье,Апрель,12,17,2.1438761553897803,139.8669896468587
Airline_A,ORD,DFW,Пятница,Октябрь,15,17,5.0086190025917805,66.26942274122989
Airline_A,ORD,LAX,Среда,Март,17,21,4.019972932578028,-151.50749170593636
Airline_A,ORD,JFK,Суббота,Май,18,21,4.5866017374045605,-189.56358571963378
Airline_C,LAX,ORD,Среда,Январь,11,12,5.455394905247941,-54.84551649833473
Airline_A,DFW,DFW,Среда,Март,7,9,2.51801534890852,-49.0923942785301
